"Dem/Ind Prob","GOP Prob","GOP Senators Number","GOP Senators","GOP Majority"
0.05,0.05,53.15,53,3
0.05,0.1,52.73,53,3
0.05,0.15,52.45,52,2
0.05,0.2,51.88,52,2
0.05,0.25,51.51,52,2
0.05,0.3,51.12,51,1
0.05,0.35,50.72,51,1
0.05,0.4,50.38,50,0
0.05,0.45,49.95,50,0
0.05,0.5,49.57,50,0
0.05,0.55,49.14,49,-1
0.05,0.6,48.81,49,-1
0.05,0.65,48.34,48,-2
0.05,0.7,47.95,48,-2
0.05,0.75,47.57,48,-2
0.05,0.8,47.18,47,-3
0.05,0.85,46.79,47,-3
0.05,0.9,46.39,46,-4
0.05,0.95,46,46,-4
0.1,0.05,53.67,54,4
0.1,0.1,53.31,53,3
0.1,0.15,52.87,53,3
0.1,0.2,52.5,53,3
0.1,0.25,52.08,52,2
0.1,0.3,51.57,52,2
0.1,0.35,51.2,51,1
0.1,0.4,50.89,51,1
0.1,0.45,50.51,51,1
0.1,0.5,50.04,50,0
0.1,0.55,49.77,50,0
0.1,0.6,49.31,49,-1
0.1,0.65,48.91,49,-1
0.1,0.7,48.54,49,-1
0.1,0.75,48.12,48,-2
0.1,0.8,47.79,48,-2
0.1,0.85,47.25,47,-3
0.1,0.9,46.91,47,-3
0.1,0.95,46.47,46,-4
0.15,0.05,54.28,54,4
0.15,0.1,53.9,54,4
0.15,0.15,53.42,53,3
0.15,0.2,52.95,53,3
0.15,0.25,52.71,53,3
0.15,0.3,52.19,52,2
0.15,0.35,51.83,52,2
0.15,0.4,51.49,51,1
0.15,0.45,50.91,51,1
0.15,0.5,50.75,51,1
0.15,0.55,50.16,50,0
0.15,0.6,49.86,50,0
0.15,0.65,49.43,49,-1
0.15,0.7,49.06,49,-1
0.15,0.75,48.66,49,-1
0.15,0.8,48.31,48,-2
0.15,0.85,47.89,48,-2
0.15,0.9,47.51,48,-2
0.15,0.95,47.03,47,-3
0.2,0.05,54.85,55,5
0.2,0.1,54.43,54,4
0.2,0.15,53.97,54,4
0.2,0.2,53.61,54,4
0.2,0.25,53.16,53,3
0.2,0.3,52.7,53,3
0.2,0.35,52.51,53,3
0.2,0.4,52,52,2
0.2,0.45,51.7,52,2
0.2,0.5,51.16,51,1
0.2,0.55,50.79,51,1
0.2,0.6,50.4,50,0
0.2,0.65,50.02,50,0
0.2,0.7,49.5,50,0
0.2,0.75,49.23,49,-1
0.2,0.8,48.83,49,-1
0.2,0.85,48.47,48,-2
0.2,0.9,48.02,48,-2
