State,"Governor Party",Party,Age,Name
al,GOP,GOP,85,Shelby
al,GOP,Dem,65,Jones
ak,GOP,GOP,62,Murkosski
ak,GOP,GOP,55,Sullivan
az,GOP,Dem,43,Sinema
az,GOP,GOP,54,McSally
ar,GOP,GOP,69,Boozman
ar,GOP,GOP,42,Cotton
ca,Dem,Dem,86,Feinstein
ca,Dem,Dem,55,Harris
co,Dem,Dem,55,Bennet
co,Dem,GOP,45,Gardner
ct,Dem,Dem,74,Blumenthal
ct,Dem,Dem,46,Murphy
de,Dem,Dem,73,Carper
de,Dem,Dem,56,Coons
fl,GOP,GOP,48,GOPubio
fl,GOP,GOP,67,Scott
ga,GOP,GOP,70,Perdue
ga,GOP,GOP,49,Loeffler
hi,Dem,Dem,47,Schatz
hi,Dem,Dem,72,Hirono
id,GOP,GOP,68,Crapo
id,GOP,GOP,76,GOPisch
il,Dem,Dem,75,Demurbin
il,Dem,Dem,52,Demuckworth
in,GOP,GOP,47,Young
in,GOP,GOP,66,Braun
ia,GOP,GOP,86,Grassley
ia,GOP,GOP,49,Ernst
ks,Dem,GOP,84,GOPoberts
ks,Dem,GOP,65,Moran
ky,Dem,GOP,78,McConnell
ky,Dem,GOP,57,Paul
la,Dem,GOP,62,Cassidy
la,Dem,GOP,68,Kennedy
me,Dem,GOP,67,Collins
me,Dem,Ind,76,King
md,GOP,Dem,76,Cardin
md,GOP,Dem,61,VanHollen
ma,GOP,Dem,70,Warren
ma,GOP,Dem,73,Markey
mi,Dem,Dem,69,Stabenow
mi,Dem,Dem,61,Peters
mn,Dem,Dem,59,Klobuchar
mn,Dem,Dem,62,Smith
ms,GOP,GOP,68,Wicker
ms,GOP,GOP,60,Hyde-Smith
mo,GOP,GOP,70,Blunt
mo,GOP,GOP,40,Hawley
mt,Dem,Dem,63,Tester
mt,Dem,GOP,57,Demaines
ne,GOP,GOP,69,Fischer
ne,GOP,GOP,48,Sasse
nv,Dem,Dem,56,Masto
nv,Dem,Dem,62,GOPosen
nh,GOP,Dem,73,Shaheen
nh,GOP,Dem,62,Hassan
nj,Dem,Dem,66,Menendez
nj,Dem,Dem,50,Booker
nm,Dem,Dem,71,Udall
nm,Dem,Dem,48,Heinrich
ny,Dem,Dem,69,Schumer
ny,Dem,Dem,53,Gillibrand
nc,Dem,GOP,64,Burr
nc,Dem,GOP,59,Tillis
nd,GOP,GOP,63,Hoeven
nd,GOP,GOP,59,Cramer
oh,GOP,Dem,67,Brown
oh,GOP,GOP,64,Portman
ok,GOP,GOP,85,Inhofe
ok,GOP,GOP,52,Lankford
or,Dem,Dem,70,Wyden
or,Dem,Dem,63,Merkley
pa,Dem,Dem,60,CaseyJr
pa,Dem,GOP,58,Toomey
ri,Dem,Dem,70,GOPeed
ri,Dem,Dem,64,Whitehouse
sc,GOP,GOP,64,GRaham
sc,GOP,GOP,54,Scott
sd,GOP,GOP,59,Thune
sd,GOP,GOP,65,GOPounds
tn,GOP,GOP,79,Alexander
tn,GOP,GOP,67,Blackburn
tx,GOP,GOP,68,Cornyn
tx,GOP,GOP,49,Cruz
ut,GOP,GOP,48,Lee
ut,GOP,GOP,73,GOPomney
vt,GOP,Dem,80,Leahy
vt,GOP,Ind,78,Sanders
va,Dem,Dem,65,Warner
va,Dem,Dem,62,Kaine
wa,Dem,Dem,69,Murray
wa,Dem,Dem,61,Cantwell
wv,GOP,Dem,72,Manchin
wv,GOP,GOP,66,Capito
wi,Dem,GOP,65,Johnson
wi,Dem,Dem,58,Baldwin
wy,GOP,GOP,76,Enzi
wy,GOP,GOP,67,Barrasso
